키워드,CAT구분,키워드_정제
니트,레포츠의류,니트
니트,공용의류,니트
베스트,레포츠의류,베스트
베스트,공용의류,베스트
셋업,공용의류,셋업
셋업,레포츠의류,셋업
스케쳐스(신발),패션잡화,스케쳐스
스케쳐스(의류),레포츠의류,스케쳐스
자켓,레포츠의류,자켓
자켓,공용의류,자켓
조거,공용의류,조거
조거,레포츠의류,조거
치아,리빙,치아
치아,금융,치아
티셔츠,레포츠의류,티셔츠
티셔츠,공용의류,티셔츠
팬츠,공용의류,팬츠
팬츠,레포츠의류,팬츠
